GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pojomatic,org.pojomatic,Pojomatic,0,58,0,4,0,12,0,10,0,8
Pojomatic,org.pojomatic,NoPojomaticPropertiesException,0,14,0,0,0,2,0,1,0,1
Pojomatic,org.pojomatic,Pojomatic.new SelfPopulatingMap() {...},0,6,0,0,0,2,0,2,0,2
Pojomatic,org.pojomatic.diff,PropertyDifferences,3,35,0,4,1,11,1,7,1,5
Pojomatic,org.pojomatic.diff,ValueDifference,0,48,0,0,0,11,0,7,0,7
Pojomatic,org.pojomatic.diff,NoDifferences,0,13,0,0,0,5,0,5,0,5
Pojomatic,org.pojomatic.internal,Primitives,3,66,0,0,1,17,1,4,1,4
Pojomatic,org.pojomatic.internal,PojomatorByteCodeGenerator,13,2880,1,95,0,544,1,91,0,43
Pojomatic,org.pojomatic.internal,ClassDefinerFactory,8,32,1,3,3,10,2,4,1,3
Pojomatic,org.pojomatic.internal,LocalVariable,20,87,4,4,4,25,4,6,0,6
Pojomatic,org.pojomatic.internal,ClassProperties.new SelfPopulatingMap() {...},0,9,0,0,0,2,0,2,0,2
Pojomatic,org.pojomatic.internal,ClassProperties.ClassContributionTracker,0,13,0,0,0,5,0,3,0,3
Pojomatic,org.pojomatic.internal,BasePojomator,126,341,8,64,24,90,8,42,2,12
Pojomatic,org.pojomatic.internal,SelfPopulatingMap,0,75,0,6,0,17,0,6,0,3
Pojomatic,org.pojomatic.internal,AbstractPropertyElement,0,53,0,6,0,17,0,10,0,7
Pojomatic,org.pojomatic.internal,PojomatorByteCodeGenerator.StackAdjustments,0,7,0,2,0,1,0,2,0,1
Pojomatic,org.pojomatic.internal,PojomatorFactory.new PrivilegedExceptionAction() {...},0,10,0,0,0,2,0,2,0,2
Pojomatic,org.pojomatic.internal,PojomatorFactory,10,137,0,8,3,29,1,9,1,5
Pojomatic,org.pojomatic.internal,ClassProperties,0,617,0,92,0,117,0,67,0,21
Pojomatic,org.pojomatic.internal,PropertyFilter,0,24,0,8,0,8,0,5,0,1
Pojomatic,org.pojomatic.internal,BasePojomator.new PrivilegedExceptionAction() {...},0,20,0,0,0,2,0,2,0,2
Pojomatic,org.pojomatic.internal,PropertyField,0,23,0,2,0,5,0,5,0,4
Pojomatic,org.pojomatic.internal,EnhancedPropertyFormatterWrapper,0,176,0,0,0,26,0,22,0,22
Pojomatic,org.pojomatic.internal,PropertyRole,0,34,0,0,0,2,0,1,0,1
Pojomatic,org.pojomatic.internal,ClassLoaderClassDefiner,17,0,0,0,3,0,2,0,2,0
Pojomatic,org.pojomatic.internal,PropertyClassVisitor,5,289,0,26,1,54,0,21,0,8
Pojomatic,org.pojomatic.internal,LookupClassDefiner,0,13,0,0,0,3,0,2,0,2
Pojomatic,org.pojomatic.internal,OverridableMethods,0,148,0,22,0,32,0,15,0,4
Pojomatic,org.pojomatic.internal,ClassLoaderClassDefiner.new PrivilegedAction() {...},13,0,0,0,2,0,2,0,2,0
Pojomatic,org.pojomatic.internal,OverridableMethods.PackageMethod,5,46,4,4,2,9,4,3,0,3
Pojomatic,org.pojomatic.internal,EnhancedPojoFormatterWrapper,0,54,0,0,0,15,0,9,0,9
Pojomatic,org.pojomatic.internal,PropertyAccessor,0,114,1,23,0,21,1,19,0,8
Pojomatic,org.pojomatic.internal,ClassLoaderClassDefiner.DynamicClassLoader,12,0,0,0,3,0,2,0,2,0
Pojomatic,org.pojomatic.annotations,AutoDetectPolicy,0,34,0,0,0,4,0,1,0,1
Pojomatic,org.pojomatic.annotations,PojomaticPolicy.new PojomaticPolicy() {...},0,9,0,0,0,2,0,2,0,2
Pojomatic,org.pojomatic.annotations,PojomaticPolicy,0,144,0,0,0,14,0,3,0,3
Pojomatic,org.pojomatic.annotations,DefaultPojomaticPolicy,0,132,0,0,0,13,0,3,0,3
Pojomatic,org.pojomatic.formatter,AccountNumberFormatter,8,43,0,2,4,12,2,5,2,4
Pojomatic,org.pojomatic.formatter,DefaultEnhancedPojoFormatter,44,43,0,2,12,13,4,6,4,5
Pojomatic,org.pojomatic.formatter,DefaultPojoFormatter,0,43,0,2,0,10,0,6,0,5
Pojomatic,org.pojomatic.formatter,DefaultPropertyFormatter,12,140,1,27,1,36,1,16,0,3
Pojomatic,org.pojomatic.formatter,DefaultEnhancedPropertyFormatter,45,647,4,98,7,163,5,69,1,22
